srcdna_id,dstdna_id
577,626
460,69
460,191
460,125
460,293
69,191
69,125
69,293
191,125
191,293
125,293
460,1054
1054,69
1054,125
1054,293
577,790
577,344
577,407
790,344
790,407
344,407
626,293
626,460
626,43
293,460
293,43
460,43
931,344
931,599
931,407
344,599
599,407
16,720
16,446
720,446
311,160
771,445
771,485
771,458
771,750
771,612
445,485
445,458
445,750
445,612
485,458
485,750
485,612
458,750
458,612
750,612
460,210
460,947
210,947
432,1046
432,446
1046,446
43,147
545,105
1066,69
1066,626
1066,457
1066,441
1066,1003
1066,931
69,626
69,457
69,441
69,1003
69,931
626,457
626,441
626,1003
626,931
457,441
457,1003
457,931
441,1003
441,931
1003,931
1033,463
1033,783
463,783
555,884
555,69
555,1033
555,614
555,783
555,463
884,69
884,1033
884,614
884,783
884,463
69,1033
69,614
69,783
69,463
1033,614
614,783
614,463
783,463
808,48
808,59
48,59
720,69
48,72
90,16
614,69
614,358
69,358
69,517
69,933
517,933
72,808
1033,863
1033,1062
863,1062
191,457
976,1005
976,953
976,633
1005,953
1005,633
953,633
976,435
976,714
435,714
692,293
692,463
293,463
861,144
861,947
144,947
764,184
764,446
184,446
626,1033
626,742
626,399
1033,742
1033,399
742,399
399,39
861,611
861,822
144,611
144,822
611,822
613,611
613,607
613,407
611,607
611,407
607,407
973,413
973,433
973,913
413,433
413,913
433,913
228,291
228,975
291,975
613,226
613,677
613,895
226,677
226,895
677,895
190,607
190,69
190,413
190,802
190,95
190,392
190,132
607,69
607,413
607,802
607,95
607,392
607,132
69,413
69,802
69,95
69,392
69,132
413,802
413,95
413,392
413,132
802,95
802,392
802,132
95,392
95,132
392,132
1003,937
1003,599
937,599
308,613
308,517
613,517
944,228
944,919
944,975
228,919
919,975
931,160
790,747
445,90
445,524
445,746
445,531
445,457
445,228
90,524
90,746
90,531
90,457
90,228
524,746
524,531
524,457
524,228
746,531
746,457
746,228
531,457
531,228
457,228
937,436
937,516
436,599
436,516
599,516
976,454
976,1054
976,90
454,1054
454,90
1054,90
747,460
747,407
747,532
747,919
747,994
460,407
460,532
460,919
460,994
407,532
407,919
407,994
532,919
532,994
919,994
519,60
519,954
519,746
519,531
519,457
60,954
60,746
60,531
60,457
954,746
954,531
