rna_id,pro_id
4108,3381
2612,2125
3800,3142
1221,1004
812,657
3017,2474
2786,2267
1106,900
2398,1959
3379,2795
1921,1579
865,707
328,262
2055,1680
3633,2989
866,708
1964,1602
1620,1329
3260,2683
4161,3425
674,552
4289,3532
3532,2914
1960,1598
255,200
2001,1635
818,663
848,694
1726,1427
332,267
1784,1480
2944,2409
4070,3346
1018,834
1889,1565
4069,3345
177,141
333,268
1149,934
1348,1106
1851,1532
452,376
3392,2807
2838,2312
3355,2774
847,693
1812,1501
4016,3316
2872,2342
2400,1961
2655,2160
2106,1719
664,545
2345,1909
2446,2003
410,339
3796,3139
3251,2677
273,217
293,236
3101,2547
3037,2490
424,349
1211,994
1260,1036
2189,1782
2950,2413
3556,2934
3545,2924
2986,2443
3270,2693
2306,1881
3006,2463
606,500
1181,964
906,744
2413,1974
3437,2843
590,487
3550,2929
3724,3075
4235,3493
806,651
1760,1456
2547,2078
1975,1609
2095,1711
1948,1595
3246,2672
706,574
2019,1652
2498,2039
1251,1031
3390,2805
111,81
304,244
4300,3538
3383,2798
907,745
3611,2969
4120,3393
3749,3097
3892,3213
397,327
2218,1803
4059,3341
2255,1839
2356,1921
4081,3357
1015,831
3714,3064
45,33
1942,1590
3369,2786
2428,1985
1449,1180
1757,1453
4140,3411
959,785
2947,2411
1450,1181
1988,1623
1242,1024
4096,3371
922,759
2186,1779
755,616
1054,864
2233,1817
1911,1574
3046,2498
4258,3511
280,224
2036,1667
3139,2585
3245,2671
376,299
378,301
2175,1771
3300,2723
1105,899
869,710
950,778
1841,1525
3212,2645
3275,2698
1189,972
1261,1037
2455,2007
3303,2726
320,254
1741,1437
924,761
3290,2713
266,210
223,169
2320,1890
2321,1891
2435,1992
1543,1262
3554,2932
2781,2262
3992,3295
4017,3317
1887,1564
814,659
2553,2084
4022,3319
102,78
1249,1029
3746,3094
2844,2317
852,697
4102,3375
2890,2359
3218,2649
1848,1529
1679,1384
2700,2191
3639,2995
1592,1304
436,361
2826,2301
1263,1039
1486,1216
1051,863
1559,1277
1581,1295
3310,2733
1322,1089
403,333
4201,3461
2359,1924
2821,2293
3080,2527
1474,1204
2287,1867
1361,1116
1316,1084
156,122
1484,1213
3092,2538
1481,1211
1521,1242
523,434
274,218
2751,2240
151,117
3988,3293
3663,3019
3712,3062
621,514
281,225
4236,3494
577,480
3782,3127
4290,3533
3823,3160
3549,2928
2768,2254
4104,3377
3896,3216
628,520
3963,3275
3312,2735
3839,3175
457,383
3732,3082
3167,2609
172,136
2299,1875
4130,3401
3116,2561
3108,2554
3740,3090
1398,1145
963,789
1387,1137
938,772
633,524
829,675
2226,1811
1214,997
3297,2720
3815,3154
2554,2085
2560,2089
4098,3373
128,97
1872,1551
710,578
1615,1324
3238,2666
1982,1617
481,402
82,69
1355,1111
1549,1267
3474,2875
3869,3200
1044,857
4013,3314
3426,2833
4037,3328
2324,1892
4131,3402
3943,3258
2620,2133
392,322
2963,2426
601,495
234,179
3189,2626
3002,2459
688,560
3593,2960
997,820
2618,2131
1350,1107
2705,2196
932,766
1866,1545
630,522
3435,2841
297,239
3654,3011
3058,2510
3321,2744
492,410
1380,1131
916,754
4127,3399
689,561
3958,3270
351,284
4176,3438
991,815
4003,3306
3309,2732
4237,3495
3086,2534
426,351
1815,1504
4092,3367
2899,2367
1198,981
2852,2325
1187,970
3711,3061
1818,1507
173,137
2693,2184
3387,2802
1891,1567
1716,1418
3820,3157
3669,3025
2333,1897
1610,1319
3377,2793
3592,2959
4149,3416
2576,2102
2833,2308
2305,1880
2845,2318
547,454
616,509
3160,2602
3406,2820
167,131
157,123
1775,1471
1458,1187
2742,2231
3742,3091
2243,1826
140,108
346,280
1215,998
3634,2990
643,531
982,806
2274,1860
1755,1451
2062,1684
1212,995
2500,2040
3948,3262
4282,3526
2384,1945
2939,2405
683,555
3982,3289
4168,3432
1339,1098
1170,953
3053,2506
1524,1245
1231,1015
3898,3218
696,568
1697,1400
1382,1132
1408,1151
3847,3182
229,174
2520,2054
1379,1130
2709,2200
2855,2328
1598,1308
3722,3073
1523,1244
4186,3447
2075,1694
3946,3261
2942,2408
2084,1702
3924,3242
453,377
278,222
3159,2601
68,56
1110,904
1071,869
2090,1708
717,585
1207,990
1852,1533
770,628
203,160
279,223
3203,2639
3045,2497
2373,1934
298,240
1386,1136
2542,2073
3106,2552
3283,2706
1847,1528
1161,945
827,673
2471,2019
2244,1827
3932,3250
2248,1831
2811,2284
1839,1523
1291,1065
2000,1634
1152,935
667,548
1011,830
2877,2347
2529,2062
393,323
135,103
1969,1607
3121,2566
2511,2047
2202,1791
2497,2038
3134,2579
1465,1194
3557,2935
1411,1154
64,52
1650,1358
2223,1808
3706,3055
1370,1123
339,273
3690,3042
2765,2251
1202,985
958,784
1303,1073
2142,1746
3302,2725
1933,1584
692,564
399,329
3769,3114
4296,3537
2961,2424
1753,1449
1451,1182
1900,1573
644,532
2204,1793
2672,2166
2369,1930
2179,1775
1537,1256
3247,2673
3498,2898
2147,1748
3316,2739
546,453
2934,2400
326,260
2603,2117
3358,2778
3825,3162
711,579
760,620
2035,1665
3285,2708
2814,2287
0,0
475,397
155,121
3930,3248
3103,2549
1892,1569
4142,3413
362,291
3069,2517
828,674
1767,1463
3772,3116
1031,845
2930,2397
526,436
2673,2167
131,100
1685,1390
3687,3038
3887,3209
2916,2384
228,173
855,700
2588,2107
2371,1932
3688,3040
235,180
1599,1309
3752,3100
2714,2205
2214,1800
835,681
1155,938
910,748
4177,3439
984,808
3424,2831
1048,860
527,437
2922,2389
1075,873
2548,2079
521,432
2575,2101
1920,1578
89,76
2518,2053
3879,3206
1193,976
529,438
1917,1577
686,558
1163,947
1178,961
3933,3251
3395,2809
1660,1368
961,787
1694,1397
3055,2507
1405,1150
441,366
3429,2835
2057,1681
25,17
1138,924
2387,1948
1156,939
2187,1780
1336,1096
3463,2867
884,724
1158,942
695,567
660,541
1098,894
2647,2152
1227,1012
1778,1474
3484,2885
355,286
50,38
823,669
3691,3043
4287,3530
1783,1479
465,388
126,95
340,274
2193,1784
2543,2074
47,35
1922,1580
849,695
2099,1714
4376,3551
2027,1658
524,435
1468,1197
3700,3049
2748,2237
2392,1953
3357,2777
1588,1300
3489,2890
3500,2900
2640,2147
494,412
752,614
3897,3217
3263,2686
1021,837
1764,1460
379,302
3003,2460
442,367
3124,2569
406,335
2820,2292
3100,2546
2685,2176
1710,1412
2962,2425
3137,2583
802,647
650,536
882,722
833,679
1700,1402
3680,3035
4255,3508
724,589
2669,2163
3652,3008
2724,2213
4293,3536
1360,1115
3978,3285
2749,2238
1667,1374
1611,1320
1487,1217
233,178
1177,960
1821,1510
1750,1446
438,363
736,600
1476,1206
535,444
715,583
2601,2115
654,538
2316,1888
3009,2466
3548,2927
2919,2387
4110,3383
3480,2881
1578,1292
1294,1066
1580,1294
39,29
3814,3153
4231,3488
708,576
3326,2749
407,336
3126,2571
2822,2294
2081,1699
1587,1299
1185,968
2010,1645
3430,2836
3441,2847
2224,1809
112,82
1390,1140
2385,1946
2462,2014
2914,2382
3162,2604
4001,3304
2780,2261
4150,3417
2740,2229
4183,3444
783,637
2318,1889
1103,897
3895,3215
1027,842
262,206
1884,1562
2998,2455
3188,2625
57,45
2564,2092
2707,2198
3562,2938
3786,3130
2250,1834
3059,2511
3859,3192
915,753
1192,975
898,737
2706,2197
162,127
3858,3191
1696,1399
1789,1485
3384,2799
3927,3245
4378,3553
290,232
3385,2800
2213,1799
1575,1289
469,392
139,107
610,504
3533,2915
3760,3106
4008,3309
3097,2543
3865,3196
3824,3161
3751,3099
3802,3144
272,216
1308,1077
613,506
2100,1715
2760,2247
2721,2210
1107,901
795,641
1541,1260
1715,1417
2570,2098
3119,2564
1937,1586
4253,3507
2910,2378
2858,2331
4273,3518
3659,3016
32,22
3403,2817
3197,2634
2531,2064
171,135
3827,3164
4204,3464
1280,1056
2552,2083
2574,2100
1497,1225
1139,925
4211,3472
1940,1588
774,631
430,355
3926,3244
3599,2964
2011,1646
2167,1764
165,129
264,208
1269,1046
3339,2760
2810,2283
3971,3280
1692,1395
3976,3283
1799,1493
2297,1874
4,3
1115,909
2381,1942
1072,870
942,776
2290,1870
3305,2728
4009,3310
690,562
24,16
1713,1415
2341,1905
400,330
2964,2427
897,736
2478,2023
1025,840
1438,1169
3192,2629
2526,2059
38,28
3145,2589
1035,848
1748,1444
3093,2539
3051,2504
3396,2810
2654,2159
4115,3388
1525,1246
454,380
423,348
636,526
276,220
1819,1508
3266,2689
103,79
445,369
3293,2716
3854,3188
4056,3339
4277,3522
505,423
3113,2558
2424,1982
294,237
2432,1989
2887,2356
123,92
2080,1698
48,36
730,595
1785,1481
3271,2694
3538,2919
3349,2768
3589,2957
2605,2119
1389,1139
411,340
4230,3487
895,734
420,344
2088,1706
657,540
250,195
227,172
3095,2541
1677,1382
691,563
537,446
1264,1040
3996,3299
5,4
1213,996
1310,1079
3721,3071
1840,1524
1803,1496
477,398
4051,3335
496,414
1101,896
2816,2289
934,768
1682,1387
3748,3096
2092,1709
4011,3312
1995,1629
3867,3198
3583,2954
127,96
3642,2998
1032,846
2177,1773
830,676
856,701
1147,933
1384,1134
1003,826
4134,3405
970,795
4162,3426
3146,2590
330,265
3269,2692
726,591
63,51
382,305
3094,2540
1200,983
2915,2383
1205,988
713,581
2201,1790
2551,2082
3210,2644
1273,1050
952,780
1377,1129
143,110
3011,2468
1528,1248
4075,3351
762,622
1966,1604
766,626
3120,2565
3021,2478
1609,1317
2112,1724
734,599
4194,3455
2676,2169
2686,2177
1095,891
366,293
1083,881
2941,2407
224,170
3720,3070
3656,3013
622,515
2879,2349
2789,2270
3314,2737
3315,2738
2901,2369
1897,1571
1914,1575
3438,2844
2990,2447
891,730
2093,1710
3783,3128
1190,973
2358,1923
3938,3255
1217,1001
890,729
936,770
2617,2130
2828,2303
602,496
3734,3084
1558,1276
1184,967
4114,3387
3559,2936
2970,2432
3834,3171
1180,963
2712,2203
3645,3001
2684,2175
2257,1841
2692,2183
482,403
1362,1117
4135,3406
2924,2391
3781,3126
2252,1836
3142,2587
1097,893
2311,1883
185,149
552,458
2071,1692
4205,3465
2591,2110
2868,2338
443,368
1111,905
317,251
1454,1184
2737,2226
1857,1537
3036,2489
1059,866
1436,1167
836,682
3956,3268
1881,1559
629,521
182,146
515,426
1777,1473
3790,3134
152,118
1925,1582
1786,1482
1499,1227
3502,2902
416,342
703,572
3329,2752
408,337
216,168
594,490
740,604
254,199
570,473
1844,1526
3410,2823
2956,2419
3787,3131
1320,1087
2775,2258
3223,2654
1270,1047
3754,3101
1284,1058
3047,2499
4225,3483
1126,915
502,420
2176,1772
1455,1185
2415,1975
2913,2381
3262,2685
1576,1290
3433,2839
267,211
2759,2246
2641,2148
3049,2501
4233,3492
1116,910
1533,1252
2723,2212
3389,2804
4307,3543
387,310
2778,2259
1016,832
3068,2516
1478,1208
4167,3431
698,570
3597,2962
183,147
1566,1281
1209,992
1721,1423
3799,3141
2129,1736
2282,1866
2203,1792
303,243
3128,2573
1968,1606
3713,3063
79,66
4157,3421
2562,2091
258,203
887,726
2425,1983
1998,1632
2770,2256
4050,3334
718,586
4239,3497
2304,1879
1573,1287
1708,1410
1526,1247
2785,2266
2683,2174
2688,2179
2758,2245
2619,2132
2229,1814
1135,922
390,321
204,161
3672,3028
1461,1190
1963,1601
725,590
605,499
3459,2863
81,68
1232,1016
2370,1931
1720,1422
1144,930
801,646
2854,2327
981,805
1854,1535
490,408
694,566
2953,2416
3234,2663
3981,3288
3912,3231
3398,2812
3569,2944
3791,3135
2441,1998
1113,907
969,794
973,797
3415,2824
4244,3502
3436,2842
1182,965
1645,1355
3144,2588
4049,3333
1936,1585
3798,3140
3306,2729
3844,3179
2876,2346
451,375
174,138
1229,1014
1446,1177
275,219
1222,1005
2787,2268
875,715
1114,908
665,546
137,105
624,517
663,544
1253,1033
17,10
2159,1757
377,300
4097,3372
716,584
1238,1021
432,357
2039,1670
2611,2124
642,530
632,523
3671,3027
1719,1421
739,603
640,529
1504,1230
1712,1414
1735,1435
472,395
618,511
1430,1163
580,483
2472,2020
2850,2323
1166,950
3689,3041
1817,1506
1513,1236
3698,3047
977,801
1495,1223
4209,3469
1641,1351
256,201
2245,1828
2041,1671
572,475
3425,2832
3478,2879
604,498
3477,2878
1079,877
1210,993
4090,3365
4137,3407
2059,1683
3209,2643
1651,1359
2904,2372
673,551
2150,1750
142,109
271,214
1023,838
2361,1925
354,285
2469,2017
1820,1509
1277,1054
3806,3148
2550,2081
437,362
2537,2070
2730,2219
3409,2822
3249,2675
37,27
1117,911
4091,3366
1174,957
988,812
1119,913
3576,2949
3610,2968
1485,1215
1644,1354
2464,2015
1675,1380
3422,2829
1618,1327
3404,2818
3957,3269
564,470
3868,3199
2496,2037
3940,3256
1346,1105
832,678
2270,1856
1943,1591
61,49
4188,3449
2846,2319
4228,3485
1825,1514
132,101
2568,2096
3217,2648
327,261
1997,1631
2626,2139
440,365
3921,3240
821,667
2457,2009
3161,2603
3117,2562
1367,1121
2460,2012
2313,1885
113,83
2437,1994
292,234
1801,1495
2017,1650
826,672
4105,3378
4301,3539
1086,884
2332,1896
4275,3520
1216,1000
1961,1599
2156,1754
2139,1743
3419,2828
3252,2678
3250,2676
3129,2574
1613,1322
1811,1500
3761,3107
1483,1212
3843,3178
16,9
1507,1231
1859,1539
1548,1266
1397,1144
4015,3315
1553,1271
175,139
184,148
1550,1268
4190,3451
627,519
4274,3519
1568,1283
1300,1070
1226,1011
540,449
1665,1372
2927,2394
1004,827
3307,2730
3050,2503
1296,1067
87,74
741,605
902,740
7,5
2405,1966
3701,3050
2368,1929
1039,852
2393,1954
3038,2491
62,50
1627,1336
2232,1816
478,399
3060,2512
2545,2076
65,53
3279,2702
2546,2077
166,130
1673,1377
3462,2866
2848,2321
4065,3343
3461,2865
1869,1548
3000,2457
1805,1497
1890,1566
2261,1845
2687,2178
3670,3026
1373,1125
2825,2297
1744,1440
3322,2745
1773,1469
3866,3197
4207,3467
813,658
3171,2611
1043,856
2921,2388
799,644
2623,2136
2087,1705
1535,1254
2003,1638
2616,2129
2960,2423
3340,2761
56,44
668,549
2907,2375
277,221
205,162
3542,2921
2225,1810
592,488
1000,823
1006,829
3016,2473
2089,1707
480,401
3696,3046
4181,3442
336,271
4270,3515
1159,943
3012,2469
2523,2056
3975,3282
381,304
3492,2893
763,623
2086,1704
189,153
1235,1018
324,258
2873,2343
860,703
1070,868
427,352
3737,3087
1833,1517
146,113
3184,2621
439,364
3935,3252
4306,3542
3469,2873
3997,3300
825,671
1234,1017
992,816
1691,1394
2012,1647
2949,2412
4271,3516
927,764
1538,1257
1766,1462
2736,2225
2874,2344
1267,1043
1591,1303
86,73
1417,1158
2807,2280
699,571
3632,2988
3710,3060
2128,1735
4068,3344
1453,1183
1807,1498
939,773
2590,2109
1492,1221
1129,918
1286,1060
2312,1884
1414,1156
1693,1396
1923,1581
2734,2223
2931,2398
769,627
3317,2740
2391,1952
2577,2103
4278,3523
1080,878
4024,3321
1791,1487
88,75
395,325
3620,2977
33,23
1703,1405
1614,1323
4174,3436
1886,1563
926,763
3568,2943
2738,2227
4117,3390
3032,2488
1199,982
1601,1311
2216,1801
1167,951
2259,1843
1358,1114
1522,1243
623,516
797,643
1084,882
3674,3030
2999,2456
1304,1074
1684,1389
1555,1273
3914,3233
2980,2440
22,14
753,615
904,742
2682,2173
2767,2253
2861,2334
2912,2380
3237,2665
1509,1233
