valid_output_rna_1,valid_output_rna_2,valid_imrna_1,valid_imrna_2
0.6035934,0.9709892,1.4124484,-0.4148093
-1.5309107,1.0249517,-1.7698253,0.7092053
0.024679255,-0.81051505,-0.33317676,-0.6082992
-1.1775603,0.56520456,-1.2211169,-0.15272322
0.7440678,-0.3742559,0.29844004,-0.028495535
0.09258555,-1.2008109,0.50529754,-0.62709713
0.4871615,-0.20274237,0.012366787,0.10124934
1.2829303,-0.7930728,0.62596035,-0.8976794
-1.1449558,0.04353399,-0.8061585,-0.11511908
2.012781,-0.084556766,1.4179221,-0.12365909
0.2574165,-1.1239566,-0.000485659,-1.1873673
1.1208899,-0.51048785,0.9370306,-0.431942
-0.6338266,1.310572,-0.4973949,1.2331427
0.10851393,-0.74728274,0.22480473,-1.103539
-0.93650496,1.0054687,-1.1974788,0.5081619
2.0141802,1.7608985,2.0260668,4.0654135
-0.8380574,-0.832695,-0.9993955,-1.0754062
1.2924547,0.46996647,0.884504,0.49222398
-1.1967657,1.2306044,-1.1384465,1.167202
-0.27471316,0.9932058,-0.17934784,0.9830037
-1.4501165,1.2774959,-1.8066972,1.5530351
-0.9122052,2.189155,-1.1776797,2.5988882
-0.2834498,-0.1059528,-0.46463633,-0.10616721
0.85395384,0.003781261,0.87307626,0.87042665
0.12759256,0.8837558,0.30835187,0.017194504
-0.564835,-0.7940253,-0.8580221,-0.30747536
0.9381889,0.9717194,0.73049265,0.69007134
-0.8581759,-0.5445155,-0.63243806,-0.23917246
0.36250648,0.13865352,0.13475952,0.6153297
1.1197244,-0.7109829,0.55679256,-0.6725273
1.7595073,-0.8243109,1.6346561,-0.89095724
-0.47294468,0.9683435,-0.3207966,0.3782647
-0.21361381,-0.34597248,-0.26133242,-0.16710223
1.6320866,-0.15258259,1.1163771,-0.38295895
0.9620159,1.900996,1.128236,2.2395751
-1.4323648,0.33177567,-1.4322653,0.23942663
-1.1959165,-0.06587594,-1.2383473,-0.040009346
0.4798308,-0.66677177,0.5724292,-1.1800348
1.4812629,0.25375375,1.2973092,0.42121136
0.59262717,-1.4112047,0.7790858,-1.4044104
-0.8876399,0.6210643,-0.65182376,0.36694473
-1.2470981,-0.55171067,-1.2277086,-0.3777963
-0.56019557,-0.8735259,-0.86774755,-1.1650785
1.2190702,0.19350865,0.4540345,0.24303325
-0.2122063,-0.59498954,0.040062748,-0.76997477
1.9042492,-0.053910665,2.1449208,-0.15805912
-0.77852535,0.18392289,-0.73471636,-0.004964016
-1.3496994,-0.25407362,-1.0556493,-0.2984099
1.9984398,-0.3287617,1.981812,-0.49835154
-0.9684951,-0.0408241,-0.8111194,0.46225095
2.3037465,-0.2509971,1.821506,-0.34879762
1.3475499,-0.57018316,0.9925918,-0.16182075
1.7060812,-0.098194934,1.2543707,-0.2506026
-0.4513144,-0.97789603,0.005462586,-1.0881437
0.32810366,-0.55675346,-0.022005325,-0.7264995
-0.7501645,0.08777628,-0.5407514,0.03629298
2.8702905,0.96797687,2.4812286,1.6819369
0.10795213,0.44682735,0.41582894,0.614774
-0.82654935,1.2006886,-1.245959,0.251567
0.55865324,1.7857318,0.94800967,1.4599173
-0.76043534,-1.1284732,-0.4722657,-0.73911434
