inx,geneid,pathway,pathwayano
gene1,ALG13,N Glycan Biosynthesis,N Glycan Biosynthesis
gene2,DOLPP1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene3,RPN1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene4,ALG14,N Glycan Biosynthesis,N Glycan Biosynthesis
gene5,MAN1B1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene6,ALG3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene7,B4GALT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene8,MGAT5,N Glycan Biosynthesis,N Glycan Biosynthesis
gene9,RPN2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene10,STT3A,N Glycan Biosynthesis,N Glycan Biosynthesis
gene11,MGAT3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene12,DAD1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene13,MGAT2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene14,ALG12,N Glycan Biosynthesis,N Glycan Biosynthesis
gene15,TUSC3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene16,MAN1C1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene17,DPM2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene18,DPM1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene19,GANAB,N Glycan Biosynthesis,N Glycan Biosynthesis
gene20,ALG1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene21,MGAT4A,N Glycan Biosynthesis,N Glycan Biosynthesis
gene22,ALG10B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene23,STT3B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene24,MAN1A2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene25,ALG10,N Glycan Biosynthesis,N Glycan Biosynthesis
gene26,ALG11,N Glycan Biosynthesis,N Glycan Biosynthesis
gene27,ALG8,N Glycan Biosynthesis,N Glycan Biosynthesis
gene28,ALG2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene29,DPAGT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene30,RFT1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene31,DPM3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene32,DDOST,N Glycan Biosynthesis,N Glycan Biosynthesis
gene33,MGAT4B,N Glycan Biosynthesis,N Glycan Biosynthesis
gene34,ALG6,N Glycan Biosynthesis,N Glycan Biosynthesis
gene35,MAN2A2,N Glycan Biosynthesis,N Glycan Biosynthesis
gene36,MAN1A1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene37,MAN2A1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene38,ST6GAL1,N Glycan Biosynthesis,N Glycan Biosynthesis
gene39,B4GALT3,N Glycan Biosynthesis,N Glycan Biosynthesis
gene40,ALG5,N Glycan Biosynthesis,N Glycan Biosynthesis
