node1,node2,combined_score
FKBP4,PPP5C,933
PSMA4,PSMC4,999
ITGA3,ITGB4,972
NDUFB4,UQCRC1,897
HSD17B10,DLD,749
UQCRC1,DLD,904
PSMA4,PSMD5,982
PSMC4,PSMD5,989
TNS1,VCL,957
TRIP6,VCL,790
PSMA4,PSMD8,999
PSMC4,PSMD8,999
PSMD5,PSMD8,990
VAMP3,STX1B,923
UQCRC1,ATP5F1D,983
NDUFB4,NDUFB7,995
UQCRC1,NDUFB7,981
ATP5F1D,NDUFB7,963
RCN1,SERPIND1,900
CPB2,SERPIND1,775
APOH,SERPIND1,761
VAMP3,SNAP29,970
STX1B,SNAP29,893
CD74,MIF,986
AAAS,SNRPD3,913
SF3A1,SNRPD3,985
FKBP4,MAPK1,918
PPP5C,MAPK1,937
VCL,MAPK1,950
RCN1,LGALS1,904
SERPIND1,LGALS1,900
TECR,TOMM22,890
TIMM13,TOMM22,940
MAPK1,HMOX1,779
RFC2,MCM5,950
MAPK1,ARSA,903
TRIP6,TTLL12,826
RALA,MYH9,953
TOMM22,TXN2,793
PSMC4,EIF3D,740
SF3A1,PHF5A,992
SNRPD3,PHF5A,999
UQCRC1,ACO2,803
DLD,ACO2,802
TIMM13,ACO2,907
TOMM22,ACO2,910
MAPK1,CTSG,917
ARSA,CTSG,904
PYGM,PYGL,961
SLC2A3,ATP6V1D,900
ATP5F1D,ATP6V1D,929
PSMA4,PSMA3,999
PSMC4,PSMA3,999
PSMD5,PSMA3,981
PSMD8,PSMA3,999
FKBP3,PSMA3,733
FKBP4,AHSA1,788
STX1B,CHGA,799
EIF3D,EIF5,986
RFC2,APEX1,932
SF3A1,PABPN1,927
SNRPD3,PABPN1,954
PHF5A,PABPN1,936
PSMA4,PSME2,976
PSMC4,PSME2,984
PSMD5,PSME2,924
PSMD8,PSME2,935
PSMA3,PSME2,994
PYGM,PYGB,980
MAPK1,PYGB,908
ARSA,PYGB,903
CTSG,PYGB,903
PYGL,PYGB,962
RTF2,CSTF1,758
SF3A1,CSTF1,904
