Entry,Entry Name,Protein names,Gene Names,Gene Ontology (GO)
A0A024R579,A0A024R579_HUMAN,"Glycoprotein hormone alpha 2, isoform CRA_a (Glycoprotein-alpha 2)",GPA2 GPHA2 hCG_23404,extracellular space [GO:0005615]; hormone activity [GO:0005179]; thyrotropin-releasing hormone receptor binding [GO:0031531]; cell surface receptor signaling pathway [GO:0007166]
A0A024R937,A0A024R937_HUMAN,Tumor necrosis factor ligand 2B,TNLG2B,extracellular space [GO:0005615]; membrane [GO:0016020]; cytokine activity [GO:0005125]; tumor necrosis factor receptor binding [GO:0005164]; immune response [GO:0006955]; inflammatory response [GO:0006954]; positive regulation of cytokine production [GO:0001819]; positive regulation of T cell proliferation [GO:0042102]
A0A024RA73,A0A024RA73_HUMAN,"Caspase recruitment domain family, member 4 (Nucleotide-binding oligomerization domain containing 1 isoform 1)",CARD4 NOD1 hCG_39138 tcag7.679,basolateral plasma membrane [GO:0016323]; lateral plasma membrane [GO:0016328]; phagocytic vesicle [GO:0045335]; pattern recognition receptor activity [GO:0038187]; peptidoglycan binding [GO:0042834]; defense response to Gram-positive bacterium [GO:0050830]; ERK1 and ERK2 cascade [GO:0070371]; innate immune response [GO:0045087]; JNK cascade [GO:0007254]; nucleotide-binding oligomerization domain containing 1 signaling pathway [GO:0070427]; positive regulation of apoptotic process [GO:0043065]; positive regulation of canonical NF-kappaB signal transduction [GO:0043123]; positive regulation of dendritic cell antigen processing and presentation [GO:0002606]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of interleukin-1 beta production [GO:0032731]; positive regulation of interleukin-6 production [GO:0032755]; positive regulation of JNK cascade [GO:0046330]; positive regulation of macrophage cytokine production [GO:0060907]; positive regulation of stress-activated MAPK cascade [GO:0032874]; positive regulation of tumor necrosis factor production [GO:0032760]; positive regulation of xenophagy [GO:1904417]; response to endoplasmic reticulum stress [GO:0034976]; stress-activated MAPK cascade [GO:0051403]; xenophagy [GO:0098792]
A0A024RCP6,A0A024RCP6_HUMAN,GPSM3,GPSM3,plasma membrane [GO:0005886]; GTPase regulator activity [GO:0030695]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of inflammatory response [GO:0050729]; positive regulation of leukocyte chemotaxis [GO:0002690]
A0A075B788,A0A075B788_HUMAN,Protein tyrosine phosphatase receptor type C,PTPRC,membrane [GO:0016020]; protein tyrosine phosphatase activity [GO:0004725]; T cell receptor signaling pathway [GO:0050852]
A0A075B7C5,A0A075B7C5_HUMAN,C-C motif chemokine ligand 5,CCL5,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A077CY02,A0A077CY02_HUMAN,Bone morphogenetic protein 7,BMP7,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; growth factor activity [GO:0008083]; BMP signaling pathway [GO:0030509]
A0A078BBI5,A0A078BBI5_HUMAN,"Transforming growth factor, beta 1",TGFB1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; transforming growth factor beta receptor binding [GO:0005160]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A0A078BC11,A0A078BC11_HUMAN,"Transforming growth factor, beta 1",TGFB1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; transforming growth factor beta receptor binding [GO:0005160]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A0A078BCH8,A0A078BCH8_HUMAN,"Transforming growth factor, beta 1",TGFB1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; transforming growth factor beta receptor binding [GO:0005160]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A0A078BCJ0,A0A078BCJ0_HUMAN,"Transforming growth factor, beta 1",TGFB1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; transforming growth factor beta receptor binding [GO:0005160]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A0A078BFK3,A0A078BFK3_HUMAN,"Transforming growth factor, beta 1",TGFB1,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; transforming growth factor beta receptor binding [GO:0005160]; regulation of cell population proliferation [GO:0042127]; transforming growth factor beta receptor signaling pathway [GO:0007179]
A0A087WTB5,A0A087WTB5_HUMAN,Interleukin 6 receptor,IL6R,membrane [GO:0016020]; cytokine receptor activity [GO:0004896]
A0A087WTY6,A0A087WTY6_HUMAN,Neuroblastoma suppressor of tumorigenicity 1,NBL1,extracellular region [GO:0005576]
A0A087WUE5,A0A087WUE5_HUMAN,C-C motif chemokine,CCL16,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A087WUG6,A0A087WUG6_HUMAN,Chorionic somatomammotropin hormone 1 (Chorionic somatomammotropin hormone 2),CSH1 CSH2,extracellular region [GO:0005576]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]
A0A087WWS6,A0A087WWS6_HUMAN,Interferon alpha 13,IFNA13,extracellular space [GO:0005615]; cytokine activity [GO:0005125]; cytokine receptor binding [GO:0005126]; defense response to virus [GO:0051607]
A0A087WXJ5,A0A087WXJ5_HUMAN,Growth hormone 2,GH2,extracellular region [GO:0005576]; hormone activity [GO:0005179]; metal ion binding [GO:0046872]
A0A087WYZ4,A0A087WYZ4_HUMAN,Glycoprotein hormones alpha chain,CGA,extracellular region [GO:0005576]; hormone activity [GO:0005179]
A0A087WZ14,A0A087WZ14_HUMAN,Suppressor of cytokine signaling 7,SOCS7,
A0A087WZU1,A0A087WZU1_HUMAN,protein-tyrosine-phosphatase (EC 3.1.3.48),PTPRQ,apical plasma membrane [GO:0016324]; stereocilium base [GO:0120044]; protein tyrosine phosphatase activity [GO:0004725]; detection of mechanical stimulus involved in sensory perception of sound [GO:0050910]; hematopoietic progenitor cell differentiation [GO:0002244]; neuromuscular process controlling balance [GO:0050885]; vestibular receptor cell morphogenesis [GO:0060116]
A0A087X089,A0A087X089_HUMAN,C-C motif chemokine,CCL14,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A087X0B9,A0A087X0B9_HUMAN,protein-tyrosine-phosphatase (EC 3.1.3.48),PTPRQ,membrane [GO:0016020]; protein tyrosine phosphatase activity [GO:0004725]
A0A087X0H5,A0A087X0H5_HUMAN,Growth hormone receptor (Somatotropin receptor),GHR,cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; cytokine receptor activity [GO:0004896]; endocytosis [GO:0006897]
A0A087X162,A0A087X162_HUMAN,Growth hormone receptor,GHR,cytoplasmic ribonucleoprotein granule [GO:0036464]; cytosol [GO:0005829]; plasma membrane [GO:0005886]; cytokine receptor activity [GO:0004896]
A0A087X1J9,A0A087X1J9_HUMAN,C-C motif chemokine ligand 15,CCL15,extracellular space [GO:0005615]; chemokine activity [GO:0008009]; immune response [GO:0006955]
A0A087X1Q5,A0A087X1Q5_HUMAN,Suppressor of cytokine signaling 7,SOCS7,cytosol [GO:0005829]; intracellular signal transduction [GO:0035556]; negative regulation of signal transduction [GO:0009968]; protein ubiquitination [GO:0016567]
A0A087X1S5,A0A087X1S5_HUMAN,Fibroblast growth factor (FGF),FGF8 hCG_25633,extracellular region [GO:0005576]; growth factor activity [GO:0008083]
